Year,Round,Overall,Team,Player,Nat.,Pos,PosSimp,Age,To,YrsPlayed,AmateurTeam,AmateurLeague,GP,G,A,PTS,PlusMinus,PIM,Gpgoalie,Wgoalie,Lgoalie,TOTSOlossgoalie,SavePercgoalie,GAAgoalie,PS
2005,4,123,Carolina Hurricanes,Ondrej Otcenas\otcenon01,SK,C,C,18,2005,0,Dukla Trencin Jr. (Slovak-Jr.),SlovakiaJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,124,Colorado Avalanche,Ray Macias\maciara01,US,D,D,18,2011,6,Kamloops (WHL),WHL,8,0,1,1,-1,2,0,0,0,0,0,0,0.2
2005,4,125,Pittsburgh Penguins,Tommi Leinonen\leinoto01,FI,D,D,18,2005,0,Karpat Oulu Jr. (Finland-Jr.),FinlandJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,126,Pittsburgh Penguins,Tim Crowder\crowdti01,CA,RW,W,18,2005,0,South Surrey (BCHL),BCHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,127,Anaheim Ducks,Bobby Bolt\boltbo01,CA,LW,W,18,2005,0,Kingston (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,128,Calgary Flames,Kevin Lalande\lalanke01,CA,G,G,18,2005,0,Belleville (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,129,Minnesota Wild,Anthony Aiello\aiellan01,US,D,D,19,2005,0,Thayer Academy (High-MA),High,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,130,Montreal Canadiens,Mathieu Aubin\aubinma01,CA,C,C,18,2005,0,Lewiston (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,131,Columbus Blue Jackets,Tomas Popperle\poppeto01,CZ,G,G,20,2007,2,Sparta Praha (Czech),Czech,2,0,0,0,0,0,2,0,0,0,0.929,1.35,0.1
2005,5,132,Detroit Red Wings,Darren Helm\helmda01,CA,C,C,18,2020,15,Medicine Hat (WHL),WHL,697,109,134,243,-10,228,0,0,0,0,0,0,21
2005,5,133,Tampa Bay Lightning,Stanislav Lascek\lascest01,SK,RW,W,19,2005,0,Chicoutimi (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,134,Chicago Blackhawks,Brennan Turner\turnebr02,CA,D,D,18,2005,0,Notre Dame (SJHL),SJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,135,Atlanta Thrashers,Tomas Pospisil\pospito01,CZ,RW,W,18,2005,0,Trinec Jr. (Czech-Jr.),CzechJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,136,Ottawa Senators,Tomas Kudelka\kudelto01,CZ,D,D,18,2005,0,Zlin Jr. (Slovak-Jr.),SlovakiaJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,137,Detroit Red Wings,Johan Ryno\rynojo01,SE,RW,W,19,2005,0,Kumla Jr.,SwedenJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,138,Vancouver Canucks,Matt Butcher\butchma01,US,C,C,18,2005,0,Chilliwack (BCHL),BCHL,0,0,0,0,0,0,0,0,0,0,0,0,0
